title,classification,reason,example_title,july_occurrences,days_present,first_seen,last_seen
deputy manager childrens home,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Deputy Manager Childrens Home,69,14,2026-07-01,2026-07-14
ofsted registered manager (childrens home),HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Ofsted Registered Manager (Childrens home),56,14,2026-07-01,2026-07-14
registered children's home manager,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Registered Children's Home Manager,48,14,2026-07-01,2026-07-14
registered manager - children's home,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Registered Manager - Children's Home,38,14,2026-07-01,2026-07-14
senior children's residential support worker,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Senior Children's Residential Support Worker,35,12,2026-07-03,2026-07-14
deputy manager children's home,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Deputy Manager Children's Home,34,14,2026-07-01,2026-07-14
childrens home deputy manager,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Childrens Home Deputy Manager,23,14,2026-07-01,2026-07-14
senior residential childrens support worker,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Senior Residential Childrens Support Worker,20,11,2026-07-01,2026-07-14
children's home registered manager,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Children's Home Registered Manager,17,14,2026-07-01,2026-07-14
team leader - residential childrens home,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Team Leader - Residential Childrens Home,15,14,2026-07-01,2026-07-14
children's home deputy manager,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Children's Home Deputy Manager,14,14,2026-07-01,2026-07-14
children's home registered manager (4 bed home),HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Children's Home Registered Manager (4 bed home),14,14,2026-07-01,2026-07-14
deputy manager - children's residential home (learning disabilities),HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Deputy Manager - Children's Residential Home (Learning Disabilities),14,14,2026-07-01,2026-07-14
ofsted registered manager children's residential home (ebd),HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Ofsted Registered Manager Children's Residential Home (EBD),14,14,2026-07-01,2026-07-14
registered manager - children's home team,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Registered Manager - Children's Home Team,14,14,2026-07-01,2026-07-14
registered manager - therapeutic children's home,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Registered Manager - Therapeutic Children's Home,14,14,2026-07-01,2026-07-14
registered manager specialist children's home,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Registered Manager Specialist Children's Home,14,14,2026-07-01,2026-07-14
senior residential childcare support worker,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Senior Residential Childcare Support Worker,14,14,2026-07-01,2026-07-14
social worker - family support worker,HARD_PASS,Qualified professional role rather than residential childcare support.,Social Worker - Family Support Worker,14,14,2026-07-01,2026-07-14
team leader - children's residential care,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Team Leader - Children's Residential Care,14,14,2026-07-01,2026-07-14
team leader - children's home,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Team Leader - Children's Home,13,13,2026-07-02,2026-07-14
registered manager - residential childcare,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Registered Manager - Residential Childcare,12,12,2026-07-03,2026-07-14
ofstead registered manager children's residential home,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Ofstead Registered Manager Children's Residential Home,10,10,2026-07-01,2026-07-10
registered manager children's residential home,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Registered Manager Children's Residential Home,10,7,2026-07-08,2026-07-14
registered manager- childrens residential,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Registered Manager- Childrens Residential,10,10,2026-07-02,2026-07-14
deputy manager residential childcare,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Deputy Manager Residential Childcare,9,9,2026-07-06,2026-07-14
children's residential deputy manager,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Children's Residential Deputy Manager,7,7,2026-07-08,2026-07-14
childrens residential registered manager,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Childrens Residential Registered Manager,7,7,2026-07-08,2026-07-14
senior care worker childrens home,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Senior care worker childrens home,7,7,2026-07-08,2026-07-14
registered manager childrens home,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Registered Manager Childrens Home,6,6,2026-07-09,2026-07-14
childrens residential deputy manager,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Childrens Residential Deputy Manager,5,5,2026-07-01,2026-07-05
registered manager - brand new solo placement childrens home (ebd),HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Registered Manager - Brand New Solo Placement Childrens Home (EBD),5,5,2026-07-10,2026-07-14
deputy manager - specialist childrens home (ld/autism),HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Deputy Manager - Specialist Childrens Home (LD/Autism),3,3,2026-07-12,2026-07-14
ofsted registered manager childrens home,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Ofsted Registered Manager Childrens Home,3,3,2026-07-01,2026-07-03
senior residential children's support worker,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Senior Residential Children's Support Worker,2,2,2026-07-01,2026-07-02
senior/ residential child care worker,HARD_PASS,"Senior, supervisory or management level falls outside the intended entry-level proposition.",Senior/ Residential Child Care Worker,2,2,2026-07-13,2026-07-14
childrens residential support worker,HIGH_CONFIDENCE,Complete title clearly describes direct residential childcare or children's-home support.,Childrens Residential Support Worker,143,14,2026-07-01,2026-07-14
residential childcare support worker (sessional/casual),HIGH_CONFIDENCE,Complete title clearly describes direct residential childcare or children's-home support.,Residential Childcare Support Worker (Sessional/Casual),52,14,2026-07-01,2026-07-14
children's residential support worker,HIGH_CONFIDENCE,Complete title clearly describes direct residential childcare or children's-home support.,Children's Residential Support Worker,38,14,2026-07-01,2026-07-14
residential childcare support worker,HIGH_CONFIDENCE,Complete title clearly describes direct residential childcare or children's-home support.,Residential Childcare Support Worker,38,14,2026-07-01,2026-07-14
residential support worker - children's home,HIGH_CONFIDENCE,Complete title clearly describes direct residential childcare or children's-home support.,Residential Support Worker - Children's Home,27,9,2026-07-01,2026-07-09
residential child care worker (sessional/casual),HIGH_CONFIDENCE,Complete title clearly describes direct residential childcare or children's-home support.,Residential Child Care Worker (Sessional/Casual),26,13,2026-07-01,2026-07-14
residential child care worker,HIGH_CONFIDENCE,Complete title clearly describes direct residential childcare or children's-home support.,Residential Child Care Worker,21,14,2026-07-01,2026-07-14
residential children's home support worker,HIGH_CONFIDENCE,Complete title clearly describes direct residential childcare or children's-home support.,Residential Children's Home Support Worker,14,14,2026-07-01,2026-07-14
childrens residential support worker (bank),HIGH_CONFIDENCE,Complete title clearly describes direct residential childcare or children's-home support.,Childrens Residential Support Worker (Bank),12,8,2026-07-03,2026-07-14
residential childcare support worker (casual),HIGH_CONFIDENCE,Complete title clearly describes direct residential childcare or children's-home support.,Residential Childcare Support Worker (Casual),12,9,2026-07-01,2026-07-09
waking night residential childcare support worker,HIGH_CONFIDENCE,Complete title clearly describes direct residential childcare or children's-home support.,Waking Night Residential Childcare Support Worker,11,8,2026-07-01,2026-07-08
secure children's home support worker,HIGH_CONFIDENCE,Complete title clearly describes direct residential childcare or children's-home support.,Secure Children's Home Support Worker,9,9,2026-07-06,2026-07-14
residential childcare worker,HIGH_CONFIDENCE,Complete title clearly describes direct residential childcare or children's-home support.,Residential Childcare Worker,3,3,2026-07-01,2026-07-10
residential support worker (experience in children's home) (kent full time),HIGH_CONFIDENCE,Complete title clearly describes direct residential childcare or children's-home support.,Residential support worker (experience in children's home) (Kent full time),2,2,2026-07-06,2026-07-08
open evening in person - childrens residential support worker,HIGH_CONFIDENCE,Complete title clearly describes direct residential childcare or children's-home support.,Open Evening In Person - Childrens Residential Support Worker,1,1,2026-07-09,2026-07-09
family support worker,REVIEW_CONTEXT_DEPENDENT,Children/family support wording is present without clear residential role meaning.,Family Support Worker,38,14,2026-07-01,2026-07-14
residential childcare tutor,REVIEW_CONTEXT_DEPENDENT,Children/family support wording is present without clear residential role meaning.,Residential Childcare Tutor,7,7,2026-07-08,2026-07-14
children's residential care worker,REVIEW_CONTEXT_DEPENDENT,Children/family support wording is present without clear residential role meaning.,Children's Residential Care Worker,5,5,2026-07-10,2026-07-14
fostering family support worker,REVIEW_CONTEXT_DEPENDENT,Children/family support wording is present without clear residential role meaning.,Fostering Family Support Worker,3,3,2026-07-12,2026-07-14
family support worker - referral & assessment,REVIEW_CONTEXT_DEPENDENT,Children/family support wording is present without clear residential role meaning.,Family Support Worker - Referral & Assessment,2,2,2026-07-01,2026-07-02
"family support worker, barnsley council",REVIEW_CONTEXT_DEPENDENT,Children/family support wording is present without clear residential role meaning.,"Family Support Worker, Barnsley Council",2,2,2026-07-01,2026-07-02
