display_reference,title,current_decision,current_reason,jobg8_classification,ontap_region,salary_minimum_raw,salary_maximum_raw,salary_period,annualised_maximum_estimate,hard_salary_out_over_50k,description_evidence,manual_boundary_decision,manual_boundary_note
322b6afc-9975-4d7a-a92e-17ebf45541ac,Legal Cashier,BORDERLINE,description-led IT support signal needs advert review,Legal,Merseyside - Liverpool,35000.00,45000.00,Annual,45000.0,NO,"Legal Cashier - Liverpool A friendly, established and renowned law firm in central Liverpool are looking for an experienced Legal Cashier to manage the firm's cashiering function. Working as the sole cashier, the successful candidate will be responsible for client and office account transactions, bank reconciliations, billing and ensuring compliance with the Solicitors Accounts Rules. Key Requirements: Previous Legal Cashier experience within a law firm Strong knowledge of Solicitors Accounts Rules Excellent attention to detail and organisational skills Ability to work independently and manage a standalone role In return, the firm offers a supportive working environment, a competitive salary and the opportunity to become a valued member of a close-knit team.",,
f07ba107-c27e-4a89-afc4-a05beaea0d44,NQ Conveyancing Solicitor,OUT_SALARY,"annualised salary exceeds £50,000",Legal,London,50000.00,90000.00,Annual,90000.0,YES,"NQ Residential Conveyancing Solicitor - London An opportunity has arisen for an NQ+ Residential Conveyancing Solicitor/Partner at a busy law firm in west London. As the ideal Residential Conveyancing Solicitor/Partner, you will have experience managing a team and have good business development skills. This firm is long established, multi-practice and eager to grow. The Partners mention increases in profits over the past few years and would like to double the size of the department as per of their business plan. Matters you will work on include: Sales and purchases Freehold and leasehold Lease extensions Transfers of equity You must be: Qualified with several years of experience Able to manage your own caseload Ideally management experience but not essential Commercially minded On offer: Flexible working/hybrid working Contractual bonuses Administrative support Management advice and support If you're a Residential Conveyancing Solicitor/Partner in west London, please apply now for immediate consideration. Alternatively, if you'd like some more information on this opportunity, please speak with Zac Marshall at G2 Legal via email or phone.",,
ebfbd147-15f4-46ae-bde8-73ed8f35bd6e,Claims Handler,BORDERLINE,support title needs advert-context review,Insurance & Superannuation,Staffordshire,24000.00,26000.00,Annual,26000.0,NO,"Would you make a fantastic Claims HandlerAre you looking for a fast paced role dealing with multiple customers , managing claims cases and dealing with information on the phone and on emails Are you looking for a role where you could develop your claims handling skills while demonstrating your customer service , proactive work ethic and professional approachKingscroft have been asked to recruit for a Claims Handler to work for a well-established and successful claims handling business. The role will be working in a specialist claims handling team looking after a product category of customer claims.As the successful candidate you will be fully trained and your skills developed on claims handling workflow and insurance practices. Our client is looking for communication , drive and attitude and can develop the rest.Your duties will involve: Working in a sector specialist call handling team dealing with insurance claims Receiving incoming calls and recording all the relevant information on the insurance claim Managing multiple claims at different stages of completion Exploring the scope of the claim fully with the policy holder Completing all administration and follow up actions to clo…",,
d78220af-b69a-425c-aba2-435626d6711e,Public Health Paralegal,LIKELY_IN,ordinary workplace IT support title signal,Legal,Surrey,27000.00,28000.00,Annual,28000.0,NO,"Legal 500 Law Firm - Public Health Paralegal - Surrey This Legal 500 law firm in Guildford is looking for a Public Health Paralegal. You will be working with leading individuals and key lawyers on complex work for various corporates/businesses. Your role with be a mixture of casework and assisting the team with their cases. This is not your average role. Expect lots of hands on work and strong career progression opportunities i.e. qualification support. Essential requirements: 6+ months paid experience in healthcare, care, public health or similar matters Good academics including a degree in law Please note the above two points are mandatory and without them your application will not be considered. You will receive benefits as follows: Hybrid working On-site parking Private health insurance Strong career progression (training contract/support with SQE/QWE) If you are a dedicated paralegal with some light experience and are looking for an opportunity to work in a dynamic legal environment, apply today.",,
c227fe8e-71bc-408a-a90f-f8d949658734,NQ Property Litigation Solicitor,OUT_SALARY,"annualised salary exceeds £50,000",Legal,Devon,63000.00,69000.00,Annual,69000.0,YES,"Newly Qualified Property Litigation Solicitor Exeter, Devon What will you get? Very competitive salary & bonuses Flexible & hybrid working options (Excellent flexibility given for the right candidate) Access to a coaching and mentoring program in order to progress your career Private medical insurances 28 days annual leave + paid sabbaticals A flexible reward scheme to suit you & your needs Who will you join? Super successful law firm & litigation department - rated in the legal 100 Join a team with fantastic existing client relationships in place Work alongside inspiring & well-respected partners & colleagues A firm who will genuinely look to fast-track your career as a Property Litigation Solicitor What will you do? Be involved in all aspects of property litigation, working mainly with corporate clients, retailers, landowners, developers & investors Resolve property related disputes relating to: development land & property contracts, Telecoms as well as landlord and tenant matters - dilapidations, break notices, forfeiture and breach of lease covenants What will you need? To be a Newly Qualified Solicitor or Legal Executive Property Litigation experience What next? Click on apply…",,
b2ca4820-d108-41e9-a951-7fad7176be7e,Personal Assistant To Legal Directors,BORDERLINE,description-led IT support signal needs advert review,Administration,West Midlands - Birmingham & Solihull,32000.00,35000.00,Annual,35000.0,NO,"A prestigious law firm is seeking an experienced Legal Personal Assistant to join their thriving Litigation team. This is an exceptional opportunity for a highly organised professional to support multiple senior lawyers in a dynamic, fast-paced environment. As a Legal PA, you will provide comprehensive administrative support to their legal advisors, working closely with Team Leaders and Regional Services Managers. You will have significant autonomy in managing your workload while being an integral part of a collaborative, high-performing team. Key Responsibilities: Coordinate team meetings, client events, and business development activities Manage complex diary schedules for multiple senior lawyers Support legal directory submissions and maintain lawyer profiles Assist with client newsletters and marketing communications Handle travel arrangements including international bookings Process new client/matter inception and compliance requirements Manage client financial reporting and billing preparation Draft initial correspondence and legal documentation Maintain client databases and case management systems Prepare draft invoices and billing guides Liaise with finance teams on client …",,
7bb6cfde-f280-4021-9f80-b709a6491c12,Trade Mark Paralegal,LIKELY_IN,ordinary workplace IT support title signal,Legal,London,26000.00,30000.00,Annual,30000.0,NO,"A highly regarded law firm is seeking an experienced Trade Mark Paralegal to join its busy Intellectual Property team. This is an excellent opportunity for a Trade Mark Paralegal with at least 2 years' experience to support trade mark attorneys and lawyers across portfolio management, formalities and client matters within a collaborative and forward-thinking environment. The Trade Mark Paralegal role: Managing and updating trade mark portfolios and databases Monitoring deadlines and maintaining accurate records Preparing and filing UKIPO and WIPO trade mark applications and forms Assisting with oppositions, cancellations and recordals Managing trade mark and domain name renewals Preparing client reports, cost estimates and invoices Liaising with clients, overseas attorneys and intellectual property offices Assisting with trade mark searches, watching services and portfolio audits Supporting global assignments and change of name recordals Assisting with evidence collection and general IP administration The successful Trade Mark Paralegal: Minimum 2 years' Trade Mark Paralegal or IP administration experience Strong knowledge of trade mark formalities and portfolio management Excellen…",,
65a557ec-8b5e-4a1e-84d0-a2510a2b5fd1,Conveyancing Assistant,LIKELY_IN,ordinary workplace IT support title signal,Legal,Essex,28000.00,32000.00,Annual,32000.0,NO,"Conveyancing Assistant I'm working with a firm of solicitors based in Chelmsford, who pride themselves on providing a complete service to both business and private clients with a traditional approach. Due to continued growth, they have an opportunity for an experienced Conveyancing Assistant to join their conveyancing department. If you're looking for a busy and varied role this opportunity could be perfect for you Key Responsibilities Preparing and typing of legal documents and correspondence including bills of costs and completion statements Assisting with the management with a busy caseload of residential conveyancing files (freehold and leasehold) Able to complete Local Authority , Chancel and other relevant pre - exchange searches Preparing contract packs and other legal documentation Processing the conveyancing process in an efficient , accurate and timely manner Liaising with clients, estate agents, mortgage lenders, and other solicitors Drafting legal correspondence and supporting documents Handling post-completion matters including SDLT submissions and Land Registry applications Providing general administrative support to fee earners Requirements Previous experience as a C…",,
59138c46-5847-436c-bb74-682673c7189d,NQ Conveyancing Solicitor,OUT_SALARY,"annualised salary exceeds £50,000",Legal,London,35000.00,85000.00,Annual,85000.0,YES,"NQ+ Residential Conveyancing Solicitor - South London High Earnings + Strong Support Are you a Residential Conveyancing Solicitor looking to join a firm where you can focus on quality work, not admin and be properly rewarded for it? A leading South London law firm is expanding its highly successful property team and is keen to recruit a talented conveyancer to handle a busy and high-quality caseload. This firm has an outstanding reputation for its supportive culture and staff retention, regularly attracting lawyers from top London and regional practices. You'll be joining a collaborative, sociable team that genuinely values its people. With dedicated administrative support covering file opening, post-completion and compliance, you'll have the freedom to focus on delivering excellent legal work and building strong client relationships. The role will involve: - Managing a varied residential conveyancing caseload - Delivering a high standard of client service - Building and maintaining strong relationships with clients and agents - Ensuring files progress efficiently and compliantly Why this role stands out: - Above-market salary with bonus potential - Hybrid and flexible working opti…",,
107827073,Conveyancing Solicitor,OUT_SPECIALIST,specialist/senior technical title boundary,Real Estate & Property,Wiltshire,45000.00,45000.00,Annual,45000.0,NO,"Conveyancing Solicitor Location: Salisbury Working Pattern: Full-time, hybrid working optional Salary: Competitive, dependent on experience Holiday: 25 days + bank holidays, increasing with length of service The Opportunity TSR Legal are delighted to be working with a well-established and growing law firm in Salisbury who are looking to strengthen their residential property team with the appointment of click apply for full job details",,
3a279f8d-9391-4eb9-beae-12c2b90ebcfc,Legal Counsel (Litigation),OUT_SPECIALIST,specialist/senior technical title boundary,Legal,London,,,Annual,,NO,"The Role: Legal Counsel (Litigation) The Client: Consumer Lender The Location: London We are working with a fast-growing, customer focused financial services provider who is looking to bring in their first qualified lawyer with a background in financial services disputes. This will be a hands on role where you will be managing and defending claims in relation to debt recovery, section 75 claims and all fraud disputes. This will be a varied role where you will be working managing the paralegal function, and working on all legal matters (including commercial contracts). The successful candidate: 3-5 years PQE England and Wales Qualified Lawyer (Barristers also of interest) with proven experience in FS disputes, especially debt recovery and consumer credit disputes. Currently working within or with a lender, consumer credit businesses or financial services business. Happy to accept applicants from Lawyers currently in Private Practice Experience working with stakeholders and managing/supervising junior staff AI driven claims experience would be highly beneficial We are happy to provide application and/or accessibility support, please contact your Marks Sattin or Grafton consultant dir…",,
2fe712f6-4d2b-4c9d-ad41-ff4fc1a1b318,Residential Conveyancing Secretary,BORDERLINE,description-led IT support signal needs advert review,Administration,London,25000.00,35000.00,Annual,35000.0,NO,"Residential Conveyancing Secretary Progression to Case Manager Location: South East London Salary: Competitive, dependent on experience Job Type: Full-time About the Firm Our client is a well-established and highly respected High Street law firm with offices across London and Kent. The firm provides a wide range of legal services to private-paying clients, including Property, Family & Matrimonial, Wills & Probate, Trusts, Litigation, Employment and Company & Commercial. Due to continued growth, they are looking for an experienced Residential Conveyancing Secretary to join their team, with a genuine opportunity to progress into a Case Manager position. The Opportunity This is an excellent opportunity for an experienced legal secretary with a background in residential conveyancing who is looking to develop their career further. You will initially provide comprehensive secretarial and administrative support to the Residential Conveyancing team, while receiving structured training and mentoring to increase your knowledge, responsibility and autonomy. For the right person, there is a clear progression route into Case Manager responsibilities , providing an excellent opportunity to build…",,
e82b0f4a-f09c-46f0-874c-425396b66414,Private Client Legal Secretary,LIKELY_IN,ordinary workplace IT support title signal,Administration,Surrey,25000.00,28000.00,Annual,28000.0,NO,"Private Client Legal Secretary/Probate Legal Secretary Farnham Hybrid Working £27,000-£32,000 DOE + Excellent Benefits Are you an experienced Private Client Legal Secretary or Probate Legal Secretary looking to join a highly regarded Legal 500 law firm? Our client is a well-established Chambers and Legal 500 recognised firm with an excellent reputation for client care and employee development. Due to continued growth, the firm is looking to recruit a Legal Secretary to support its successful Private Client, Probate, Tax & Trusts team based in Farnham . This is an excellent opportunity for an experienced legal support professional seeking a varied role within a friendly, collaborative team, with the flexibility of hybrid working and genuine long-term career prospects. Benefits Salary of £27,000-£32,000 depending on experience Hybrid working Legal 500 and Chambers recognised law firm Friendly and supportive working environment Excellent training and career development Generous annual leave Pension scheme Life assurance and additional employee benefits The Role Working closely with partners and fee earners, you will provide high-quality secretarial and administrative support across a …",,
e2997b7b-a095-46e1-b998-caa63242c099,Paralegal (Commercial Property),LIKELY_IN,ordinary workplace IT support title signal,Legal,Surrey,25000.00,28000.00,Annual,28000.0,NO,"Paralegal - Commercial Property - Guildford £25,000 - £28,000 per annum DOE Our client is seeking a Paralegal to join their Commercial Property team, providing support to fee earners and helping to deliver an excellent client experience. This role is ideal for someone organised, proactive and looking to build their experience within commercial property law. Company Benefits: Comprehensive health insurance Pension plan 25 days' holiday plus bank holidays Life insurance Performance-based bonus Career development opportunities Company events Key Responsibilities: Supporting fee earners with a wide range of commercial property transactions and matters Preparing correspondence, reports and legal documents, including leases, licences, completion documents and digital dictation Managing client files from opening through to completion and post-completion processes Liaising with clients, tenants, landlords, lenders, surveyors and other third parties in a professional manner Assisting with acquisitions, disposals, lease grants, lease renewals and refinancing transactions Conducting property searches, reviewing title documents and assisting with due diligence exercises Preparing and submittin…",,
f735f9ce-e1d8-4ae7-850d-5c0a49268fd5,Patent Litigation Associate Attorney,OUT_SPECIALIST,specialist/senior technical title boundary,Legal,London,,,Annual,,NO,"Tempting Recruitment are working alongside our client, a international law firm, who are looking to recruit an experienced Patent Litigation Associate to join their team based in Central London. JOB DETAILS WORK TYPE: Permanent WORK PATTERN: Full Time LOCATION: London JOB ROLE An established international law firm is seeking a talented IP litigator to join its growing London practice. This is an opportunity to work within a highly regarded, collaborative patent litigation team, acting on complex and high-value contentious matters before the UK courts and supporting cross-border disputes involving leading international businesses. You will take an active role in UK patent litigation, working closely with colleagues and clients on technically complex disputes. The role offers exposure to a broad range of intellectual property matters and the opportunity to contribute to multi-jurisdictional litigation strategies. JOB DESCRIPTION The duties and responsibilities of the role will include: Running and supporting UK patent litigation, including technical analysis, evidence, strategy and case management. Advising on patent enforcement, validity, infringement and freedom-to-operate matters.…",,
107825118,Conveyancing Assistant,LIKELY_IN,ordinary workplace IT support title signal,Administration,West Midlands - Birmingham & Solihull,22000.00,22000.00,Annual,22000.0,NO,"Search Processor (Conveyancing / Legal Support) £23,500 per annum (Equivalent to £27.5k+ Full-Time) + Benefits Permanent, Part-Time (32 Hours per week across 4 days) Hybrid (2 Days Office / 2 Days Home) Sutton Coldfield, West Midlands (B72 1TX) About the Role: Are you an experienced Search Processor or Conveyancing Assistant looking for an exceptional work-life balance without compromising your earnin click apply for full job details",,
fb796b57-2279-47a1-89ba-57ad2e8e3bd2,EL/PL Claims Handler,BORDERLINE,support title needs advert-context review,Insurance & Superannuation,Yorkshire - West,,,Annual,,NO,"Keoghs are seeking a Claims Handler (CH3) to join their Liverpool team. The claims handler will be responsible for managing a caseload of Public / Employers Liability claims up to a reserve value of £30,000. The handler will manage the claim from inception to settlement pre litigation. Key Accountabilities To proactively manage a caseload of PL/EL claims up to and including reserve limits of £30,000 to conclusion Maintain accurate data on relevant case management system Comply with set client SLA's To attend client review meetings and assist with client project work where applicable Undertake appropriate additional tasks provided by the team leader Ensure quality service standards and productivity levels are maintained to a high standard Report to Team Leader/Claims Unit Service Manager undertaking appropriate additional tasks Allocate new claims as and when required Carry out supervisory tasks appropriate to level and as per management instructions Experience, Skills and Qualifications Minimum 2 years claims handling experience Experience dealing with quantum up to 25k Experience in the evaluation, negotiation and settlement of Public/Employers' Liability Claims Flexible approach …",,
e438ce38-73ec-498a-8ce6-defbd3d713ea,Conveyancing Assistant,LIKELY_IN,ordinary workplace IT support title signal,Legal,Surrey,28000.00,32000.00,Annual,32000.0,NO,"Eventus Legal is seeking a Conveyancing Assistant to join a busy Residential Property team in Haslemere, Surrey. This is a full time, permanent job position offering a salary of £28,000 to £32,000 depending on experience, 26 days' holiday plus bank holidays, a company pension scheme and ongoing professional development. Hybrid working and remote working from home for one to two days per week are available after the initial training period, providing a balanced opportunity within a growing and supportive law firm. Role Responsibilities As a Conveyancing Assistant in Haslemere, Surrey, you will support fee earners throughout residential property transactions and help matters progress efficiently from instruction through to completion. Prepare and issue residential conveyancing quotations. Assist with client onboarding and compliance procedures, including opening and maintaining conveyancing files. Prepare sale and purchase files for exchange of contracts. Liaise professionally with clients, estate agents, mortgage lenders and other solicitors. Support fee earners with day to day administration and case management. Deal with post-exchange and post-completion matters. Maintain accurate…",,
bda308fe-e814-42c4-8cf9-ea5261f17cd3,Residential Conveyancer or Conveyancing Solicitor,OUT_SALARY,"annualised salary exceeds £50,000",Legal,North Wales - East,40000.00,60000.00,Annual,60000.0,YES,"Eventus Legal is delighted to be recruiting on behalf of a highly regarded North Wales law firm who are seeking an experienced Residential Conveyancing Solicitor to join their team at the Shotton (Flintshire) office. This is an excellent opportunity to become part of a friendly, close knit team with an established and loyal client base and a steady flow of residential conveyancing work. Offering a competitive salary of £40,000 to £60,000, depending upon experience, together with twenty nine days annual leave plus Bank Holidays, free onsite parking, free eye tests, staff social events and a supportive working environment. This job provides an excellent opportunity for an experienced Conveyancing Solicitor looking to build a long term career within a respected local practice. You will have the autonomy to manage your own varied residential conveyancing caseload from instruction through to completion with support from colleagues. Commercial Property experience would be welcomed but is not essential, making this an excellent opportunity for an experienced Residential Conveyancer looking to continue developing their career. Job Responsibilities As the successful Conveyancing Solicitor, …",,
959a84b5-d02f-4631-96bb-1380871703f6,International Arbitration Paralegal,LIKELY_IN,ordinary workplace IT support title signal,Legal,London,,,Annual,,NO,"International Arbitration Paralegal London Hybrid US law firm Role overview: Ryder Reid Legal is working with a US law firm to recruit an International Arbitration Paralegal to join its London office on a permanent basis. Key responsibilities: Legal research Draft and review legal documents Document management Qualifications: The ideal candidate will have previous Arbitration Paralegal experience ideally gained from a similar US, or City, law firm environment or a keen interest in the area of law. Benefits: Competitive annual salary Hybrid working Application Process: For further information and to apply, please submit your CV. Due to the high volume of applications, we are unable to respond to all enquiries. If you have not received a response within 72 hours, please assume you have not been shortlisted. We look forward to receiving your application! Ryder Reid Legal is a recruitment specialist, for almost thirty years we've been connecting legal talent with many of the leading law firms in London and internationally. Follow our LinkedIn page for our latest vacancies. .",,
91a465e3-ca87-40d9-8dd6-daf4697e9be9,Conveyancing Assistant,LIKELY_IN,ordinary workplace IT support title signal,Legal,Surrey,28000.00,32000.00,Annual,32000.0,NO,"Eventus Legal is seeking a Conveyancing Assistant to join a busy Residential Property team in Farnham, Surrey. This is a full time, permanent job position offering a salary of £28,000 to £32,000 depending on experience, 26 days' holiday plus bank holidays, a company pension scheme and ongoing professional development. Hybrid working and remote working from home for one to two days per week are available after the initial training period, providing a balanced opportunity within a growing and supportive law firm. Role Responsibilities As a Conveyancing Assistant in Farnham, Surrey, you will support fee earners throughout residential property transactions and help matters progress efficiently from instruction through to completion. Prepare and issue residential conveyancing quotations. Assist with client onboarding and compliance procedures, including opening and maintaining conveyancing files. Prepare sale and purchase files for exchange of contracts. Liaise professionally with clients, estate agents, mortgage lenders and other solicitors. Support fee earners with day to day administration and case management. Deal with post-exchange and post-completion matters. Maintain accurate fil…",,
73333352-e16a-4a6a-9711-648cd3586416,Senior Probate Case Manager,BORDERLINE,description-led IT support signal needs advert review,Administration,Greater Manchester - Manchester & Salford,35000.00,37000.00,Annual,37000.0,NO,"Senior Probate Case Manager 5 years probate experience essential Hybrid or remote Job Title: Senior Probate Case Manager Salary: £35,000 - £37,000 per annum, depending on experience Location: Hybrid or Remote Contract Type: Permanent, Full Time IMPORTANT - PROBATE EXPERIENCE IS ESSENTIAL To be considered for this position, you must have previous hands-on experience managing probate and estate administration cases. Applications from candidates without direct probate experience cannot be considered for this particular role. Are you an experienced Senior Probate Case Manager looking for a role where you can take ownership of complex probate cases whilst also supporting and mentoring others? Our client is looking for an experienced probate professional to join their Legal team. This is a varied and responsible role managing probate and estate administration matters from instruction through to final distribution, with the opportunity to work on complex and high-value estates. The role of Senior Probate Case Manager: Manage a caseload of probate and estate administration matters, including complex and high-value estates. Obtain Grants of Probate and Letters of Administration and prepare …",,
638d789f-76a9-4782-9082-70ff0bbebf5e,Conveyancing Paralegal / Fee Earner,LIKELY_IN,ordinary workplace IT support title signal,Legal,Suffolk,30000.00,35000.00,Annual,35000.0,NO,"CONVEYANCING PARALEGAL / FEE EARNER IPSWICH, SUFFOLK £30,000 - £35,000 QED Legal are currently seeking a Residential Conveyancing Paralegal / Fee Earner, to join our well-respected client in Ipswich, Suffolk. We are looking for someone with experience assisting on cases to join their friendly and established residential team. You will be expected to have roughly 1 to 5 years case handling experience. They're an excellent employer, they have flexible start times. They also offer 25 days holiday, 2 days WFH pcw, enhanced sick pay, enhanced maternity/paternity pay, life assurance 3x sal, income protection, private healthcare, and more. The type of residential transactions you should have exposure to are: sales purchase leaseholds freeholds remortgages transfers of equity If you do not have experience on a couple of the above, we still welcome applications. However please note if you do not have case handling experience within residential conveyancing, you will not be considered. If you believe you match the requirements to this role, or know someone who does, then get in touch with our Senior Legal Consultant Leah Roberts. Email: Mobile: LinkedIn: Or by applying to this vacancy. Synon…",,
5c43cc6a-6cf7-4e05-be69-3e8e8fd88d1e,Residential Conveyancing Lawyer,OUT_SALARY,"annualised salary exceeds £50,000",Legal,Dorset,40000.00,55000.00,Annual,55000.0,YES,"Residential Conveyancing Lawyer - Dorset High Street law firm based within Poole with a long standing reputation are seeking to recruit an experienced fee earner to join their team. The role will involve managing a full and varied caseload relating to the sale and purchase of freehold and leasehold properties and specialist transactions. You will be taking over from an experienced lawyer and as such, a proven fee earner (part or qualified) is required with technical skills that can assist with business development and marketing. Competitive salary on offer with career progression and free car parking. To find out more about this opportunity within Dorset, please contact Garry at GM Legal Recruitment or click on the ""apply"" button.",,
55e7e1a5-6273-4450-9a2e-77641456a2d5,NDA Small Claims Track File Handler,BORDERLINE,description-led IT support signal needs advert review,Legal,Greater Manchester - Wigan & Bolton,,,Annual,,NO,"… knowledge and provide clear unambiguous advice on the strategy for bringing a claim to its resolution. A clear view on both relevant case law and appropriate evidence will be necessary. Whilst not essential, it would be preferable for candidates to have experience of handling indemnity disputed cases and counterclaims. This is an excellent opportunity for someone with RTA experience looking to begin in litigation and file handling. There will be development opportunities to move into fast track litigation and beyond. Key Accountabilities Reviewing files, noting and abiding by Client Guidelines Knowledge of litigation, the CPR Rules and Court procedures Formulating initial and ongoing Strategy, efficiently and effectively, having in mind the appropriate fee structure Draft reports confirming Strategy and agreeing the most suitable approach with the client Draft legal documents and comply with Court orders/deadlines Throughout the lifetime of a case, being aware of the overall spend on a claim, whether fixed fee or hourly rate Undertaking negotiations with Third Party Solicitors Liaising with Insured and Insurers and Brokers where necessary Ensuring 'actions' are carried out as per Action …",,
5153020d-0678-4742-ab06-9a993c96b853,Motor Claims Handler CH3,BORDERLINE,support title needs advert-context review,Insurance & Superannuation,Merseyside - Liverpool,,,Annual,,NO,"Claims Handler - Motor (Pre-Litigation) Be the expert. Drive results. Make an impact. Are you an experienced Motor Claims Handler ready to take ownership of your own caseload and make a real difference? We're looking for a confident, detail-driven professional to manage pre-litigated motor claims (up to £25,000 reserve) from inception through to settlement. If you thrive in a fast-paced environment, enjoy negotiating strong outcomes, and want to mentor and support others along the way - this could be your next move. The Role As a Motor Claims Handler, you'll manage a varied caseload of pre-litigated motor claims, including personal injury, from inception to settlement. Ensuring every case is handled efficiently, professionally, and with exceptional service standards. You'll play a key role in delivering results - not just for clients, but for the wider team. Why Join Us? Take ownership of your own caseload Develop your technical expertise Play a key mentoring role within the team Work in a supportive, collaborative environment Be part of a business that values productivity and service excellence Key Responsibilities What You'll Be Doing Managing a caseload of pre-litigated motor cl…",,
3f7ff333-0c6a-4ad2-b8cd-9ea3617cc793,Private Client Legal Secretary - Clitheroe,LIKELY_IN,ordinary workplace IT support title signal,Administration,Greater Manchester - North,24000.00,26000.00,Annual,26000.0,NO,"Legal Secretary - Private Client Location: Clitheroe Full Time Permanent Salary Dependent on Experience An established and highly regarded multi-office law firm is looking to recruit an experienced Legal Secretary to join its Private Client team in Clitheroe. The firm has an excellent reputation across the North West and offers a supportive, friendly working environment where employees are encouraged to develop their skills and progress their careers. The Role Working closely with fee earners within the Private Client department, you will provide high-quality secretarial and administrative support, helping to ensure matters are managed efficiently and clients receive an excellent level of service. Key responsibilities will include: Audio typing and preparation of correspondence and legal documents Opening, closing and maintaining client files Managing diaries, appointments and meetings Preparing outgoing post, documents and enclosures Handling telephone calls and meeting clients in a professional and friendly manner Maintaining accurate filing and document management systems Providing day-to-day administrative support to fee earners Supporting other members of the secretarial team …",,
2b20131c-d40e-4b46-879d-29999ebc40aa,Conveyancing Fee Earner,BORDERLINE,description-led IT support signal needs advert review,Legal,Gloucestershire,40000.00,45000.00,Annual,45000.0,NO,"Conveyancing Fee Earner / Gloucestershire / 2+ PQE / £40,000+ DOE / Are you a Conveyancing Fee Earner looking to start a new position with a respectable legal firm that has a reputation for delivering practical and efficient solutions for their clients? This could be just the role for you. To register your interest, please contact Theresa Lucas on and quote Job Ref: 5001 OVERVIEW: The purpose of this role is to provide legal services to clients in relation to conveyancing matters, with an emphasis on leasehold, new builds, help to buy, and shared ownership and to assist in the co-ordination of the team's activities and achievement of its business objectives. Your main responsibilities will include: • Advising and liaising with clients and referral partners on ongoing matters. • Ongoing case management. • Client relationship management. • Networking and business development for continuous workflows. • To produce all fees to meet monthly and year end targets. • Attend team meetings where appropriate. • Keep files well organised and property updated. • Compliance with company standard. THE CANDIDATE: • Applications are welcomed from candidates with at least 2 years of legal experience…",,
2278a64e-91e2-4974-a1bb-7291bdc22344,Wills & Contentious Probate Locum,OUT_SALARY,"annualised salary exceeds £50,000",Legal,Greater Manchester - Wigan & Bolton,45.00,60.00,Hourly,117000.0,YES,"Wills & Contentious Probate Locum Solicitor Location: Bolton / Fully Remote Position: Wills & Contentious Probate Locum Solicitor Type: Locum - Long-Term Contract Hours: Part-Time, 2-3 Days Per Week Full-Time: Potentially Available Rate: £45-£60 Per Hour Start: Immediate CRA Consulting is pleased to be working with a well-established law firm in Bolton seeking an experienced Wills & Contentious Probate Locum Solicitor to join their team on a long-term basis. This is a flexible opportunity suited to an experienced private client lawyer looking for part-time locum work, with the option to work fully remotely . There may also be scope for the successful candidate to work full-time, depending on availability and preference. The Role You will be responsible for managing a varied caseload covering: Wills and estate planning Probate and estate administration Contentious probate matters Inheritance disputes Advising beneficiaries and executors Estate-related disputes and claims Taking instructions and advising clients Liaising with beneficiaries, executors and third parties Managing matters independently from instruction through to conclusion The role offers flexibility around working arra…",,
1fb34481-eca8-45a7-a877-1037e43d9cdf,NQ Property Solicitor - Legal 500 Firm,OUT_SPECIALIST,specialist/senior technical title boundary,Legal,Devon,,,Annual,,NO,"Competitive salary + generous bonus Flexible working considered + excellent benefits Legal 500 firm with genuine career progression Exeter Competitive Salary DOE + Bonus + Generous Benefits Are you a Trainee Solicitor approaching qualification or a Newly Qualified Solicitor looking to build your career in property law? An excellent opportunity has arisen with a highly regarded Legal 500 law firm in Exeter for an ambitious NQ Solicitor to join its established property team. This is a great opportunity to join a friendly and supportive firm offering high-quality property work, genuine career progression and excellent benefits . The Role You'll work on a varied range of residential property matters, with the opportunity to develop your experience alongside knowledgeable and experienced lawyers. Your work will include matters such as: Freehold and leasehold sales and purchases New build transactions Remortgages Transfers of equity Leasehold matters Other residential property transactions You'll be given the support and training needed to develop your technical knowledge, build confidence managing matters and progress your career within the team.This opportunity would suit someone who i…",,
1e4edca8-2172-428d-8ab6-b94d15c929ff,Property Legal Secretary,LIKELY_IN,ordinary workplace IT support title signal,Administration,Cheshire - East,25000.00,30000.00,Annual,30000.0,NO,"Eventus Legal are seeking a Property Legal Secretary to join a well-established law firm in Nantwich, Cheshire. This is a full-time, permanent office-based job with a salary of £25,000 - £30,000, depending on experience. The firm may also consider part-time or job share arrangements for the right person. This Property Legal Secretary job offers the opportunity to support an experienced property team within a friendly and growing legal practice, with scope for long-term development. Job Responsibilities As Property Legal Secretary, you will provide comprehensive secretarial and administrative support to fee earners across commercial and residential property matters. Your responsibilities will include: Audio typing using digital dictation Using Smokeball case management software to support day-to-day file administration Preparing, filing, scanning and photocopying documents Liaising professionally with clients, HM Land Registry, estate agents and solicitors Providing full secretarial support to fee earners within the Property department Providing occasional reception cover when required Person Specification Applications are welcomed from experienced legal secretaries who can provide …",,
