anchor_location,anchor_region,anchor_job_count,nearby_location,nearby_region,nearby_job_count,distance_miles,distance_method,max_distance_miles,display_location_policy,review_status
Ashton-under-lyne,Greater Manchester - South,2,Wilmslow,Cheshire - East,1,12.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Aylesbury,Buckinghamshire,3,Thame,Oxfordshire,1,8.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Aylesbury,Buckinghamshire,3,Berkhamsted,Hertfordshire,1,11.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Aylesbury,Buckinghamshire,3,Chesham,Buckinghamshire,1,12.2,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Aylesbury,Buckinghamshire,3,High Wycombe,Buckinghamshire,6,13.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Aylesbury,Buckinghamshire,3,Amersham,Buckinghamshire,1,13.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Aylesbury,Buckinghamshire,3,Buckingham,Buckinghamshire,1,14.6,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Ballyclare,Northern Ireland - East,1,Newtownabbey,Northern Ireland - East,2,7.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Ballyclare,Northern Ireland - East,1,Belfast,Northern Ireland - East,29,11.0,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Ballyclare,Northern Ireland - East,1,Ballymena,Northern Ireland - East,1,13.5,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Ballymena,Northern Ireland - East,1,Ballyclare,Northern Ireland - East,1,13.5,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Potters Bar,Hertfordshire,1,3.1,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Borehamwood,London,3,3.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Enfield,London,1,5.0,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Bushey,London,1,6.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Harrow,London,3,7.5,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Watford,Hertfordshire,2,8.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Middlesex,London,6,8.7,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Islington,London,1,8.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,St. Albans,Hertfordshire,1,9.0,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,London,London,220,10.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Knightsbridge,London,1,10.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Welwyn Garden City,Hertfordshire,1,10.5,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Lambeth,London,1,11.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Kings Langley,Hertfordshire,1,11.6,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Brentford,London,2,12.2,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Southall,London,1,12.2,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Hemel Hempstead,Hertfordshire,4,12.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Ilford,London,1,13.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Wandsworth,London,4,13.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Isleworth,London,3,13.5,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barnet,London,1,Uxbridge,London,3,14.0,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barry,Wales South - Cardiff & Vale,1,Cardiff,Wales South - Cardiff & Vale,9,7.1,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barry,Wales South - Cardiff & Vale,1,Weston-super-mare,Somerset,2,13.8,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Barry,Wales South - Cardiff & Vale,1,Pontypridd,Wales South - Valleys,1,14.2,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Basingstoke,Hampshire,1,Alton,Hampshire,1,9.2,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Basingstoke,Hampshire,1,Thatcham,Berkshire,1,12.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Basingstoke,Hampshire,1,Farnham,Surrey,1,12.8,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Basingstoke,Hampshire,1,Aldershot,Hampshire,1,14.0,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Basingstoke,Hampshire,1,Newbury,Berkshire,1,14.1,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Basingstoke,Hampshire,1,Reading,Berkshire,7,14.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Basingstoke,Hampshire,1,Wokingham,Berkshire,1,14.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bath,Bristol & Bath,2,Frome,Somerset,1,10.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bath,Bristol & Bath,2,Bristol,Bristol & Bath,33,11.5,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Batley,Yorkshire - West,1,Dewsbury,Yorkshire - West,2,0.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Batley,Yorkshire - West,1,Wakefield,Yorkshire - West,9,5.7,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Batley,Yorkshire - West,1,Brighouse,Yorkshire - West,4,6.2,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Batley,Yorkshire - West,1,Pudsey,Yorkshire - West,1,6.5,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Batley,Yorkshire - West,1,Huddersfield,Yorkshire - West,2,7.2,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Batley,Yorkshire - West,1,Leeds,Yorkshire - West,25,7.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Batley,Yorkshire - West,1,Bradford,Yorkshire - West,11,7.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Batley,Yorkshire - West,1,Normanton,Yorkshire - West,1,8.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Batley,Yorkshire - West,1,Bingley,Yorkshire - West,1,13.1,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Batley,Yorkshire - West,1,Otley,Yorkshire - West,1,14.2,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Bromley,London,4,1.8,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Croydon,London,3,3.7,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Chislehurst,London,1,4.1,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Sidcup,London,1,5.7,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Carshalton,London,1,6.7,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Lambeth,London,1,7.1,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Morden,London,1,7.5,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,London,London,220,8.1,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Sutton,London,2,8.6,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Wandsworth,London,4,8.6,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Knightsbridge,London,1,8.7,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Islington,London,1,9.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Oxted,Surrey,1,10.5,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Dartford,Kent,1,10.6,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Ilford,London,1,11.1,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Kingston Upon Thames,London,1,11.7,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Epsom,Surrey,3,11.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Rainham,London,1,12.0,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Tadworth,Surrey,1,12.2,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Chessington,London,1,12.5,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Dagenham,London,2,12.8,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Redhill,Surrey,4,13.2,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Sevenoaks,Kent,2,13.2,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Brentford,London,2,13.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Middlesex,London,6,13.5,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Isleworth,London,3,14.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Beckenham,London,1,Hornchurch,London,1,14.6,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bedford,Bedfordshire,2,Sandy,Bedfordshire,1,7.5,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bedford,Bedfordshire,2,St. Neots,Cambridgeshire,2,10.2,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bedford,Bedfordshire,2,Rushden,Northamptonshire,1,12.1,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bedford,Bedfordshire,2,Milton Keynes,Buckinghamshire,3,13.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Belfast,Northern Ireland - East,29,Newtownabbey,Northern Ireland - East,2,4.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Belfast,Northern Ireland - East,29,Lisburn,Northern Ireland - East,1,6.7,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Belfast,Northern Ireland - East,29,Ballyclare,Northern Ireland - East,1,11.0,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Berkhamsted,Hertfordshire,1,Chesham,Buckinghamshire,1,4.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Berkhamsted,Hertfordshire,1,Hemel Hempstead,Hertfordshire,4,5.0,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Berkhamsted,Hertfordshire,1,Kings Langley,Hertfordshire,1,5.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Berkhamsted,Hertfordshire,1,Amersham,Buckinghamshire,1,6.8,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Berkhamsted,Hertfordshire,1,St. Albans,Hertfordshire,1,9.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Berkhamsted,Hertfordshire,1,Watford,Hertfordshire,2,10.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Berkhamsted,Hertfordshire,1,Luton,Bedfordshire,1,10.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Berkhamsted,Hertfordshire,1,Aylesbury,Buckinghamshire,3,11.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Berkhamsted,Hertfordshire,1,Bushey,London,1,11.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Berkhamsted,Hertfordshire,1,High Wycombe,Buckinghamshire,6,12.0,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Berkhamsted,Hertfordshire,1,Borehamwood,London,3,14.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bicester,Oxfordshire,1,Buckingham,Buckinghamshire,1,9.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bicester,Oxfordshire,1,Oxford,Oxfordshire,10,11.1,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bicester,Oxfordshire,1,Thame,Oxfordshire,1,12.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bingley,Yorkshire - West,1,Keighley,Yorkshire - West,1,3.1,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bingley,Yorkshire - West,1,Bradford,Yorkshire - West,11,5.2,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bingley,Yorkshire - West,1,Otley,Yorkshire - West,1,7.1,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bingley,Yorkshire - West,1,Pudsey,Yorkshire - West,1,8.1,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bingley,Yorkshire - West,1,Brighouse,Yorkshire - West,4,10.3,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bingley,Yorkshire - West,1,Leeds,Yorkshire - West,25,12.4,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bingley,Yorkshire - West,1,Batley,Yorkshire - West,1,13.1,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bingley,Yorkshire - West,1,Dewsbury,Yorkshire - West,2,13.9,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Bingley,Yorkshire - West,1,Huddersfield,Yorkshire - West,2,14.0,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Birmingham,West Midlands - Birmingham & Solihull,31,Chelmsley Wood,West Midlands - Birmingham & Solihull,2,6.8,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
Birmingham,West Midlands - Birmingham & Solihull,31,Solihull,West Midlands - Birmingham & Solihull,3,6.8,HAVERSINE_STRAIGHT_LINE,15.0,PRESERVE_TRUE_JOB_LOCATION,REVIEW
