month,category,title,classification,reason,example_title,july_occurrences,days_present,first_seen,last_seen
2026-07,broader_customer_service,audiology domiciliary customer service partner,REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,Audiology Domiciliary Customer Service Partner,5,5,2026-07-10,2026-07-14
2026-07,broader_customer_service,transport customer service / administrator,REVIEW_CONTEXT_DEPENDENT,Customer-service wording is present but the complete role meaning is not specific enough.,Transport Customer Service / Administrator,1,1,2026-07-08,2026-07-08
2026-07,broader_office_administration,ifa administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,IFA Administrator,194,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,customer service administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Customer Service Administrator,88,9,2026-07-01,2026-07-09
2026-07,broader_office_administration,administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Administrator,83,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,financial planning administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Financial Planning Administrator,59,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,school administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,School Administrator,55,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,financial services administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Financial Services Administrator,46,9,2026-07-01,2026-07-09
2026-07,broader_office_administration,insolvency administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Insolvency Administrator,33,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,insolvency case administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Insolvency Case Administrator,30,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,mortgage administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Mortgage Administrator,29,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,employee benefits administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Employee Benefits Administrator,28,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,care home administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Care Home Administrator,22,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,commercial administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Commercial Administrator,21,12,2026-07-03,2026-07-14
2026-07,broader_office_administration,investment administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Investment Administrator,17,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,"lead pensions administrator (sipp, ssas)",ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,"Lead Pensions Administrator (SIPP, SSAS)",17,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,administrator officer,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Administrator officer,16,8,2026-07-02,2026-07-09
2026-07,broader_office_administration,corporate insolvency administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Corporate Insolvency Administrator,15,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,asbestos administrator / project coordinator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Asbestos Administrator / Project Coordinator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,billing administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Billing Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,client services administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Client Services Administrator,14,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,compliance administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Compliance Administrator,14,13,2026-07-02,2026-07-14
2026-07,broader_office_administration,credit administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Credit Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,data administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Data Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,executive support administrator (nursing directorate),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Executive Support Administrator (Nursing Directorate),14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,export administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Export Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,fm scheduler / compliance administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,FM Scheduler / Compliance Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,german speaking administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,German Speaking Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,graduate - quality & compliance administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Graduate - Quality & Compliance Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,ifa client administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,IFA Client Administrator,14,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,inventory administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Inventory Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,inventory administrator (rotating),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Inventory Administrator (Rotating),14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,italian speaking administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Italian speaking Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,japanese speaking financial administrator - hybrid,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Japanese Speaking Financial Administrator - Hybrid,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,kyc administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,KYC Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,mandarin treasury settlement administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Mandarin Treasury Settlement Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,operations & office coordinator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Operations & Office Coordinator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,payments administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Payments Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,pensions administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Pensions Administrator,14,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,purchase administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Purchase Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,purchasing administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Purchasing Administrator,14,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,purchasing and shipping administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Purchasing and Shipping Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,quality control administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Quality Control Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,research grants administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Research Grants Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,senco administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,SENCO Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,send administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,SEND Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,slt administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,SLT Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,temporary administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Temporary Administrator,14,14,2026-07-01,2026-07-14
2026-07,broader_office_administration,wealth planning administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Wealth Planning Administrator,14,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,administrator / sen administrator (send support),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Administrator / SEN Administrator (SEND Support),13,13,2026-07-01,2026-07-14
2026-07,broader_office_administration,business communications & executive administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Business Communications & Executive Administrator,13,13,2026-07-02,2026-07-14
2026-07,broader_office_administration,commercial operations administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Commercial Operations Administrator,13,13,2026-07-01,2026-07-14
2026-07,broader_office_administration,commercial operations coordinator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Commercial Operations Coordinator,13,13,2026-07-02,2026-07-14
2026-07,broader_office_administration,inshore boating support administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Inshore Boating Support Administrator,13,13,2026-07-01,2026-07-14
2026-07,broader_office_administration,platform administrator apprentice,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Platform Administrator Apprentice,12,12,2026-07-01,2026-07-14
2026-07,broader_office_administration,roma speaking teaching assistant and school administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Roma Speaking Teaching Assistant and School Administrator,12,12,2026-07-03,2026-07-14
2026-07,broader_office_administration,scheduling administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Scheduling Administrator,12,12,2026-07-01,2026-07-14
2026-07,broader_office_administration,junior regulatory affairs administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Junior Regulatory Affairs Administrator,11,11,2026-07-01,2026-07-14
2026-07,broader_office_administration,workflow operations coordinator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Workflow Operations Coordinator,11,11,2026-07-04,2026-07-14
2026-07,broader_office_administration,project administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Project Administrator,10,10,2026-07-01,2026-07-10
2026-07,broader_office_administration,treasury settlement administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Treasury Settlement Administrator,10,10,2026-07-01,2026-07-14
2026-07,broader_office_administration,administrator (part time),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Administrator (Part Time),9,6,2026-07-02,2026-07-07
2026-07,broader_office_administration,apprentice service desk administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Apprentice Service Desk Administrator,9,9,2026-07-01,2026-07-09
2026-07,broader_office_administration,design administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Design Administrator,9,9,2026-07-01,2026-07-09
2026-07,broader_office_administration,logisitics administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Logisitics Administrator,9,9,2026-07-01,2026-07-14
2026-07,broader_office_administration,administrator (factory setting) - antrim,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Administrator (Factory Setting) - Antrim,8,8,2026-07-02,2026-07-09
2026-07,broader_office_administration,administrator construction industry,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Administrator Construction Industry,8,8,2026-07-01,2026-07-09
2026-07,broader_office_administration,band 3 administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Band 3 Administrator,8,8,2026-07-02,2026-07-09
2026-07,broader_office_administration,band 3 administrator temp full time,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Band 3 Administrator temp full time,8,8,2026-07-02,2026-07-09
2026-07,broader_office_administration,band 4 facilities administrator (belfast),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Band 4 Facilities Administrator (Belfast),8,8,2026-07-02,2026-07-09
2026-07,broader_office_administration,business administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Business Administrator,8,7,2026-07-08,2026-07-14
2026-07,broader_office_administration,business administrator/executive assistant - edinburgh - 4 day week,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Business Administrator/Executive Assistant - Edinburgh - 4 day week,8,8,2026-07-02,2026-07-14
2026-07,broader_office_administration,customer support administrator (1- year contract),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Customer Support Administrator (1- Year Contract),8,8,2026-07-02,2026-07-09
2026-07,broader_office_administration,customs administrator (armagh),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Customs Administrator (Armagh),8,8,2026-07-02,2026-07-09
2026-07,broader_office_administration,employability administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Employability Administrator,8,8,2026-07-07,2026-07-14
2026-07,broader_office_administration,estates administrator band 4 temp,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Estates Administrator Band 4 Temp,8,8,2026-07-02,2026-07-09
2026-07,broader_office_administration,estates contracts lead administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Estates Contracts Lead Administrator,8,8,2026-07-02,2026-07-09
2026-07,broader_office_administration,experienced pensions administrator police & fire team (hybrid or rem,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Experienced Pensions Administrator Police & Fire Team (Hybrid or Rem,8,8,2026-07-01,2026-07-08
2026-07,broader_office_administration,helpdesk administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Helpdesk Administrator,8,8,2026-07-01,2026-07-10
2026-07,broader_office_administration,information & records administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Information & Records Administrator,8,8,2026-07-02,2026-07-09
2026-07,broader_office_administration,inventory administrator (6 mnth contract),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Inventory Administrator (6 Mnth Contract),8,8,2026-07-02,2026-07-09
2026-07,broader_office_administration,operations and compliance administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Operations and Compliance Administrator,8,8,2026-07-02,2026-07-09
2026-07,broader_office_administration,service delivery administrator temp full time,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Service Delivery Administrator temp full time,8,8,2026-07-02,2026-07-09
2026-07,broader_office_administration,trainee financial planning administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Trainee Financial Planning Administrator,8,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,administrator (hybrid) financial services consultancy,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Administrator (Hybrid) Financial Services Consultancy,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,administrator - private client and employee benefits,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Administrator - Private Client and Employee Benefits,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,apprentice financial planning administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Apprentice Financial Planning Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,band 2 administrator lisburn( temp full time),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Band 2 Administrator Lisburn( Temp full time),7,7,2026-07-03,2026-07-09
2026-07,broader_office_administration,call centre administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Call Centre Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,client reporting administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Client Reporting Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,client service administrator (property),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Client Service Administrator (PROPERTY),7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,commercial mortgage administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Commercial Mortgage Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,complaints administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Complaints Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,contract administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Contract Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,corporate ifa administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Corporate IFA Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,customer administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Customer Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,customer care administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Customer Care Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,customer operations administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Customer Operations Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,customer service administrator - 3 month contract,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Customer Service Administrator - 3 Month Contract,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,customer service and complaints administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Customer Service And Complaints Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,customer services administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Customer Services Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,customer support administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Customer Support Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,e-commerce customer service & administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,E-commerce Customer Service & Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,facilities administrator/helpdesk,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Facilities Administrator/Helpdesk,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,faculty administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Faculty Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,"financial administrator (sjp), office-based - harrow, nw london, £28,000 - £35,000 (doe)",ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,"Financial Administrator (SJP), Office-Based - Harrow, NW London, £28,000 - £35,000 (DOE)",7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,"financial administrator - junior ifa practice, barnet, north london, circa £30,000 + benefits",ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,"Financial Administrator - Junior IFA Practice, Barnet, North London, Circa £30,000 + Benefits",7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,"financial administrator - london - hybrid - salary to £45,000",ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,"Financial Administrator - London - Hybrid - Salary to £45,000",7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,"financial administrator - london - up to £45,000 + bonus + hybrid/flexible working",ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,"Financial Administrator - London - Up to £45,000 + Bonus + Hybrid/Flexible Working",7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,"financial administrator - london - £45,000 + benefits",ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,"Financial Administrator - London - £45,000 + benefits",7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,financial intelligence administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Financial Intelligence Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,"financial planning administrator - broadway, near evesham (hybrid) - basic to £30k + generous bonus",ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,"Financial Planning Administrator - Broadway, near Evesham (hybrid) - Basic to £30k + generous bonus",7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,financial planning administrator - leamington spa (hybrid) - basic to £30k + generous bonus,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Financial Planning Administrator - Leamington Spa (hybrid) - Basic to £30k + generous bonus,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,financial planning administrator - wilmslow (hybrid) - basic to £30k + generous bonus,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Financial Planning Administrator - Wilmslow (hybrid) - Basic to £30k + generous bonus,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,financial planning administrator / client support associate central london (near covent garden),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Financial Planning Administrator / Client Support Associate Central London (Near Covent Garden),7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,financial planning administrator / ifa administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Financial Planning Administrator / IFA Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,"financial planning administrator epsom / ewell, surrey, £30,000 - £40,000 basic",ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,"Financial Planning Administrator Epsom / Ewell, Surrey, £30,000 - £40,000 Basic",7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,"financial planning administrator, godalming, surrey, £30,000 - £38,000 basic salary + bonus +",ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,"Financial Planning Administrator, Godalming, Surrey, £30,000 - £38,000 Basic Salary + Bonus +",7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,french speaking debt recovery administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,French speaking Debt Recovery Administrator,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,graduate administrator (fluent italian),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Graduate Administrator (Fluent Italian),7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,graduate client services administrator (property),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,GRADUATE CLIENT SERVICES ADMINISTRATOR (PROPERTY),7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,"group risk administrator - manchester - hybrid working - basic to £36,000",ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,"Group Risk Administrator - Manchester - Hybrid working - Basic to £36,000",7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,health & safety administrator (consultancy),ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Health & Safety Administrator (Consultancy),7,7,2026-07-01,2026-07-14
2026-07,broader_office_administration,helpdesk service administrator,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,Helpdesk Service Administrator,7,7,2026-07-08,2026-07-14
2026-07,broader_office_administration,ifa administrator (career progression) - london/hybrid - salary up to £35k + study support,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,IFA Administrator (Career progression) - London/Hybrid - Salary up to £35k + study support,7,7,2026-07-01,2026-07-07
2026-07,broader_office_administration,ifa administrator - financial planning,ELASTIC_FIT,Broader office-based administrator or coordinator with no excluded specialist meaning.,IFA Administrator - Financial Planning,7,7,2026-07-01,2026-07-07
