title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,nejobs_duplicate_check,contract_type,working_pattern,ontap_geography,source_job_id,source_url,manual_action,final_decision
Personal Development Coach Coordinator,"Support Grade F02 - F03; £32,…",New College Durham,New College Durham - Framwell…,04/09/2026,20/09/2026,POSS,"annualised upper salary £32,975 exceeds North East review point £30,000",No plausible JobG8 match,,,,No,Permanent,Full time,North East - County Durham & Darlington/Hartlepool,301004,https://www.northeastjobs.org.uk/job/Personal_Development_Coach_Coordinator/301004,select,SELECTED
Practice Development Coordinator,"£47,665 - £51,928 per annum",Hartlepool Borough Council,"Civic Centre, Hartlepool",03/09/2026,21/09/2026 12:00,POSS,"annualised upper salary £51,928 exceeds North East review point £30,000",No plausible JobG8 match,,,,No,Permanent,Full time,North East - County Durham & Darlington/Hartlepool,301368,https://www.northeastjobs.org.uk/job/Practice_Development_Coordinator/301368,exclude,EXCLUDED
Recovery Coordinator,"£32,578 - £34,811 per annum",Hartlepool Borough Council,Start Whitby Street Hartlepoo…,07/09/2026,28/09/2026,POSS,"annualised upper salary £34,811 exceeds North East review point £30,000",No plausible JobG8 match,,,,No,Fixed Term,Full time,North East - County Durham & Darlington/Hartlepool,301502,https://www.northeastjobs.org.uk/job/Recovery_Coordinator/301502,,POSS
Waste Operations Support Officers,"£29,071 - £32,046",Durham County Council,Peterlee Depot (North) or Chi…,27/08/2026,09/09/2026,POSS,"annualised upper salary £32,046 exceeds North East review point £30,000",No plausible JobG8 match,,,,No,Temporary,Full time,North East - County Durham & Darlington/Hartlepool,301232,https://www.northeastjobs.org.uk/job/Waste_Operations_Support_Officers/301232,exclude,EXCLUDED
Active Sunderland Weight Management S…,"Grade 5 (SCP 17-22) £31,022 -…",Sunderland City Council,Sunderland City Council (deri…,01/09/2026,14/09/2026,POSS,"annualised upper salary £33,699 exceeds North East review point £30,000",No plausible JobG8 match,,,,No,Fixed Term,Full time,"North East - Tyneside, Wearside & Northumberland",301079,https://www.northeastjobs.org.uk/job/Active_Sunderland_Weight_Management_Support_Officer/301079,select,SELECTED
Annual Review Officer (SEND),"£30,515 - £33,119",Gateshead Council,Gateshead,27/08/2026,10/09/2026,POSS,transferable office/service title with specialist or borderline wording: send,No plausible JobG8 match,,,,No,Temporary,Full time,"North East - Tyneside, Wearside & Northumberland",301235,https://www.northeastjobs.org.uk/job/Annual_Review_Officer_SEND/301235,exclude,EXCLUDED
Attendance Administrator,"£27,274 to £29,071 (actual pr…",AIM High Academy Trust,Houghton Le Spring (derived f…,07/09/2026,21/09/2026 12:00,POSS,transferable office/service title with specialist or borderline wording: attendance,No plausible JobG8 match,,,,No,"Fixed Term until 31st August 2027 (pending evaluation) Hours: 20 hrs per week / 39 weeks (Term Time + INSET / 9.30am –1.30pm Mon- Fri) Salary Scale: Grade 3 SCP 7–11 £27,274 to £29,071 (actual pro-rata £12,680 to £13,516)** An excellent opportunity has arisen at Aim High Academy Trust to appoint an Attendance Administrator to support the work of our established Attendance Officer / Family Support Worker. If you share our passion for making a difference to children's lives and want to be part of a supportive and ambitious team, we would love to hear from you! Aim High Academy Trust is a successful multi-academy trust based in Houghton-le-Spring, comprising Dubmire Primary Academy, Gillas Lane Primary Academy and Newbottle Primary Academy. We are committed to helping every child thrive through high-quality education, strong pastoral support and close partnerships with our families and the wider community. Based in the Central Team Office at Dubmire Primary Academy, the successful candidate will be hardworking and organised, with attention to detail and excellent communication skills. Your role will be wide ranging and the ability to prioritise workload and remain calm under pressure while maintaining a good sense of humour is essential. A high degree of confidentiality is vital for this position. Aim High Academy Trust is committed to promoting and safeguarding the welfare of children and young people and expects all staff and volunteers to share this commitment. This post is exempt from the Rehabilitation of Offenders Act 1974 and therefore will be subject to a DBS check from the Disclosure and Barring Service. Aim High Academy Trust safeguards and protects its students and staff by being committed to respond in accordance with Sunderland Local Safeguarding Board Procedures. Applicants can view the Trust’s safeguarding policies via our website [www.aimhighacademytrust.co.uk](http://www.aimhighacademytrust.co.uk/). Please note that in all cases written references will be sought and made available to interviewers before the final selection. The application form, job description and person specification are available online at [www.aimhighacademytrust.co.uk](http://www.aimhighacademytrust.co.uk/) Applications to be returned to [hr@aimhigh.co.uk](mailto:hr@aimhigh.co.uk). **",Please see advert text,"North East - Tyneside, Wearside & Northumberland",301579,https://www.northeastjobs.org.uk/job/Attendance_Administrator/301579,,POSS
Behaviour Support Officer - Kyloe Hou…,"£25,485.96 - £27,646.17 (equa…",Northumberland County Coun…,"Kyloe House, Stannington, Uni…",04/09/2026,17/09/2026 00:00,POSS,provisional transferable-office review,No plausible JobG8 match,,,,No,Permanent,Full time,"North East - Tyneside, Wearside & Northumberland",301477,https://www.northeastjobs.org.uk/job/Behaviour_Support_Officer_Kyloe_House/301477,exclude,EXCLUDED
Driving Assessment Officer,"Grade 5 (SCP 17-22) £31,022 -…",Sunderland City Council,Sunderland City Council (deri…,01/09/2026,14/09/2026,POSS,"annualised upper salary £33,699 exceeds North East review point £30,000",No plausible JobG8 match,,,,No,Fixed Term,Full time,"North East - Tyneside, Wearside & Northumberland",301282,https://www.northeastjobs.org.uk/job/Driving_Assessment_Officer/301282,exclude,EXCLUDED
Environmental Enforcement Support Off…,"4 (SCP 12 - 17) £28,598 - £31…",Sunderland City Council,Sunderland City Council (deri…,03/09/2026,16/09/2026,POSS,"annualised upper salary £31,022 exceeds North East review point £30,000",No plausible JobG8 match,,,,No,Fixed Term,Full time,"North East - Tyneside, Wearside & Northumberland",301401,https://www.northeastjobs.org.uk/job/Environmental_Enforcement_Support_Officer/301401,exclude,EXCLUDED
Housing Support Officer,"£37,563 - £41,177 per annum",Newcastle City Council,Newcastle City Council (deriv…,07/09/2026,21/09/2026 22:59,POSS,transferable office/service title with specialist or borderline wording: housing,No plausible JobG8 match,,,,No,Permanent,Full time,"North East - Tyneside, Wearside & Northumberland",300255,https://www.northeastjobs.org.uk/job/Housing_Support_Officer/300255,,POSS
Senior Support Coordinator,"£33,699 pa",South Tyneside Council,"Adult Social Care, Support Co…",21/08/2026,11/09/2026 12:00,POSS,transferable office/service title with specialist or borderline wording: senior,No plausible JobG8 match,,,,No,Permanent,Full time,"North East - Tyneside, Wearside & Northumberland",301056,https://www.northeastjobs.org.uk/job/Senior_Support_Coordinator/301056,exclude,EXCLUDED
Simpler Recycling Projects Coordinator,"£43,149 - £46,579",Gateshead Council,Gateshead,14/08/2026,08/09/2026,POSS,"annualised upper salary £46,579 exceeds North East review point £30,000",No plausible JobG8 match,,,,No,Fixed Term,Full time,"North East - Tyneside, Wearside & Northumberland",300777,https://www.northeastjobs.org.uk/job/Simpler_Recycling_Projects_Coordinator/300777,exclude,EXCLUDED
Tenant Engagement Officer,"£32,578 - £35,570",Northumberland County Coun…,"Eddie Ferguson House, Blyth,…",28/08/2026,20/09/2026,POSS,"annualised upper salary £35,570 exceeds North East review point £30,000",No plausible JobG8 match,,,,No,Permanent,Full time,"North East - Tyneside, Wearside & Northumberland",301243,https://www.northeastjobs.org.uk/job/Tenant_Engagement_Officer/301243,select,SELECTED
Apprenticeship Skills Coordinator - T…,"Support Grade E; £30,305 per…",New College Durham,New College Durham - Framwell…,26/08/2026,09/09/2026,HARD_PASS,out-of-scope occupation: engineer,No plausible JobG8 match,,,,No,Permanent,Full time,North East - County Durham & Darlington/Hartlepool,301194,https://www.northeastjobs.org.uk/job/Apprenticeship_Skills_Coordinator_Technical_Construction_Civil_Engineering/301194,,HARD_PASS
Highways Technical Support Officer (I…,"£26,847 pa",South Tyneside Council,"Town Hall, South Shields",28/08/2026,16/09/2026 12:00,HARD_PASS,not open to external applicants,No plausible JobG8 match,,,,No,Permanent,Full time,"North East - Tyneside, Wearside & Northumberland",301268,https://www.northeastjobs.org.uk/job/Highways_Technical_Support_Officer_INTERNAL_ONLY/301268,,HARD_PASS
